"","Day","GAMLSS_LINEAR","NAIVE","True"
"81","2020-11-20","36.5574865774383","40.9443799174918","39.3723551121795"
"82","2020-11-21","35.6204062977803","38.5842537128713","38.7776212980769"
"83","2020-11-22","33.8880668958042","44.1459971617162","34.1117087820513"
"84","2020-11-23","36.2447978730054","39.3307759735974","35.3489270192308"
"85","2020-11-24","35.4362320450323","38.8640295049505","39.8886749519231"
"86","2020-11-25","35.9878192170216","38.2369237128713","35.5029995032051"
"87","2020-11-26","31.7312921890521","42.3023832508251","35.5742011858974"
"88","2020-11-27","33.960197858503","42.0036484323432","37.9722382532051"
"89","2020-11-28","34.3373859227061","41.1505160891089","35.5034618910256"
"90","2020-11-29","32.4901764190912","34.8848377062706","37.259807099359"
"91","2020-11-30","33.6695389909185","37.5107864851485","37.9799784615385"
